document,section,table_index,항목,내용,단계,사용자 행동,시스템 반응
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,1,사용자 목표,받은 쿠폰 이미지를 앱에 등록하고 만료 알림을 받는다.,,,
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,1,사전 조건,"앱 설치 완료, 사진 접근 권한 요청 가능, 등록할 쿠폰 이미지 보유",,,
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,1,홈 화면에서 쿠폰 추가 FAB를 탭한다.,CouponCreateScreen 등록 모드로 이동한다.
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,2,이미지 선택 영역을 탭한다.,사진 접근 권한을 확인하고 갤러리를 연다.
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,3,쿠폰 이미지를 선택한다.,이미지 미리보기를 표시하고 정보 추출 버튼을 활성화한다.
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,4,이미지에서 정보 추출하기를 탭한다.,OCR과 바코드/QR 인식을 수행한다.
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,5,"자동 입력된 쿠폰명, 브랜드, 카테고리, 날짜, 코드값을 확인한다.","코드값이 URL/QR이면 QR 미리보기, 일반값이면 바코드 미리보기를 표시한다."
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,6,누락된 필수값을 직접 입력한다.,필수값이 모두 채워지면 저장 버튼이 활성화된다.
05_storyboard,스토리보드 > 시나리오 1. 쿠폰 등록: 이미지 업로드 - OCR - 저장,2,,,7,추가하기를 탭한다.,쿠폰과 이미지 메타데이터를 로컬 DB에 저장하고 알림을 스케줄한다.
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,3,사용자 목표,만료 임박 알림을 보고 쿠폰을 사용 완료 처리한다.,,,
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,3,사전 조건,쿠폰이 등록되어 있고 알림 설정이 켜져 있으며 예약 시간이 도래했다.,,,
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,4,,,1,OS 알림을 수신한다.,쿠폰명과 만료 안내 문구가 로컬 알림으로 표시된다.
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,4,,,2,알림을 탭한다.,앱이 열리고 홈 스택 위에 해당 CouponDetailScreen이 표시된다.
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,4,,,3,바코드/QR 영역을 탭한다.,전체화면 코드 팝업이 열려 계산대에서 확인하기 쉬워진다.
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,4,,,4,사용 후 사용 완료 처리하기를 탭한다.,확인 다이얼로그를 표시한다.
05_storyboard,스토리보드 > 시나리오 2. 쿠폰 사용: 알림 수신 - 상세 진입 - 사용 완료,4,,,5,완료 처리를 확인한다.,쿠폰이 사용 완료 상태로 저장되고 예약 알림이 취소된다.
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,5,사용자 목표,자주 쓰는 멤버십 카드를 저장하고 계산 시 빠르게 보여준다.,,,
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,5,사전 조건,멤버십 카드번호 또는 이미지 보유,,,
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,6,,,1,하단탭에서 멤버십을 탭한다.,MembershipListScreen으로 이동한다.
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,6,,,2,멤버십 추가 FAB를 탭한다.,MembershipCreateScreen 등록 모드로 이동한다.
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,6,,,3,멤버십 이미지를 선택하거나 카드번호를 직접 입력한다.,이미지 미리보기와 입력 필드를 표시한다.
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,6,,,4,이미지에서 정보 추출하기를 탭한다.,이미지 속 바코드/텍스트를 추출해 카드번호와 이름 후보를 반영한다.
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,6,,,5,추가하기를 탭한다.,멤버십 데이터를 로컬 DB에 저장한다.
05_storyboard,스토리보드 > 시나리오 3. 멤버십 등록 및 활용,6,,,6,멤버십 상세에서 바코드를 탭한다.,전체화면 바코드 팝업을 표시한다.
05_storyboard,스토리보드 > 시나리오 4. 만료 임박 쿠폰 확인,7,사용자 목표,곧 만료되는 쿠폰을 빠르게 찾는다.,,,
05_storyboard,스토리보드 > 시나리오 4. 만료 임박 쿠폰 확인,7,사전 조건,여러 쿠폰이 등록되어 있다.,,,
05_storyboard,스토리보드 > 시나리오 4. 만료 임박 쿠폰 확인,8,,,1,홈 화면에 진입한다.,쿠폰 리스트와 D-DAY 뱃지를 표시한다.
05_storyboard,스토리보드 > 시나리오 4. 만료 임박 쿠폰 확인,8,,,2,사용가능 필터를 선택한다.,미사용/미만료 쿠폰만 표시한다.
05_storyboard,스토리보드 > 시나리오 4. 만료 임박 쿠폰 확인,8,,,3,정렬 버튼을 만료순으로 둔다.,만료일이 가까운 쿠폰을 먼저 표시한다.
