event_id,user_id,coupon_id,event_name,timestamp,days_to_expiry,device_os,app_version
e_83a6ea587c,u_034,c_a1652d32,coupon__start__create,2026-02-01T09:50:19,21,android,1.1.0
e_4bbde3556a,u_034,c_a1652d32,coupon__complete__create,2026-02-01T09:51:33,21,ios,1.1.0
e_272550bdd0,u_013,c_0cb009ae,coupon__start__create,2026-02-01T11:33:34,20,ios,1.1.0
e_5dc1e6a255,u_013,c_0cb009ae,coupon__complete__create,2026-02-01T11:34:27,20,ios,1.1.0
e_9cd96069ca,u_072,c_c5325996,coupon__start__create,2026-02-01T14:51:36,28,android,1.0.1
e_1b44a2fef6,u_072,c_c5325996,coupon__complete__create,2026-02-01T14:52:59,28,android,1.1.0
e_fa79ee5852,u_070,c_61782ff5,coupon__start__create,2026-02-01T16:25:50,7,android,1.0.1
e_14552b931f,u_070,c_61782ff5,coupon__complete__create,2026-02-01T16:26:52,7,android,1.1.0
e_756d9c095a,u_029,c_43051432,coupon__start__create,2026-02-01T17:57:21,19,android,1.0.1
e_2aa097f6a9,u_029,c_43051432,coupon__complete__create,2026-02-01T17:57:57,19,ios,1.0.1
e_6f5bc4b648,u_053,c_abf87469,coupon__start__create,2026-02-01T19:22:00,45,android,1.0.0
e_2cba375eb9,u_053,c_abf87469,coupon__complete__create,2026-02-01T19:23:10,45,ios,1.1.0
e_ce5ec6a4cd,u_075,c_c4504584,coupon__start__create,2026-02-01T19:24:14,28,android,1.0.1
e_96920bea8b,u_075,c_c4504584,coupon__complete__create,2026-02-01T19:24:29,28,android,1.0.0
e_7166170ce5,u_027,c_2bc00c55,coupon__start__create,2026-02-01T19:38:24,34,android,1.0.1
e_f80184c9ad,u_027,c_2bc00c55,coupon__complete__create,2026-02-01T19:39:20,34,ios,1.1.0
e_0bd199e6e2,u_019,c_c586546b,coupon__start__create,2026-02-01T20:29:29,21,ios,1.0.0
e_7216257f0d,u_014,c_cdecddca,coupon__start__create,2026-02-01T21:06:44,12,ios,1.0.0
e_f4896f45b2,u_014,c_cdecddca,coupon__complete__create,2026-02-01T21:07:11,12,android,1.0.0
e_09642c2808,u_013,c_c11a23ff,coupon__start__create,2026-02-01T21:21:27,21,android,1.0.1
e_ca8b3797a7,u_013,c_c11a23ff,coupon__complete__create,2026-02-01T21:22:35,21,android,1.0.1
e_dd2860ba63,u_026,c_9128a915,coupon__start__create,2026-02-01T23:13:23,25,android,1.1.0
e_89b425bdbe,u_026,c_9128a915,coupon__complete__create,2026-02-01T23:14:31,25,ios,1.0.0
e_c6793f4aa5,u_017,c_1da95906,coupon__start__create,2026-02-01T23:17:24,18,ios,1.0.0
e_d3024f734b,u_017,c_1da95906,coupon__complete__create,2026-02-01T23:18:47,18,android,1.0.1
e_3a346ea14a,u_019,c_080f0206,coupon__start__create,2026-02-01T23:32:15,39,android,1.0.1
e_ac1189882f,u_019,c_080f0206,coupon__complete__create,2026-02-01T23:33:37,39,android,1.1.0
e_640547cd58,u_010,c_e19a9bdd,coupon__start__create,2026-02-02T01:04:13,16,ios,1.1.0
e_e739cf90f8,u_013,c_dbf408ab,coupon__start__create,2026-02-02T02:11:38,46,android,1.0.1
e_eb7b1fbf5c,u_013,c_dbf408ab,coupon__complete__create,2026-02-02T02:11:59,46,ios,1.0.1
e_c6b665123e,u_073,c_fd8460f6,coupon__start__create,2026-02-02T02:24:30,36,android,1.0.1
e_6d34965e97,u_073,c_fd8460f6,coupon__complete__create,2026-02-02T02:24:58,36,android,1.0.1
e_8bf28d66e3,u_050,c_542d38ad,coupon__start__create,2026-02-02T03:55:24,37,android,1.1.0
e_cfc981f306,u_050,c_542d38ad,coupon__complete__create,2026-02-02T03:56:19,37,ios,1.0.0
e_6739208607,u_068,c_39bf70bf,coupon__start__create,2026-02-02T03:57:30,24,ios,1.1.0
e_86a9974269,u_068,c_39bf70bf,coupon__complete__create,2026-02-02T03:57:48,24,ios,1.0.1
e_ec3acc856b,u_032,c_df0a381a,coupon__start__create,2026-02-02T05:15:42,32,android,1.1.0
e_ec4e84a257,u_032,c_df0a381a,coupon__complete__create,2026-02-02T05:17:04,32,android,1.0.0
e_da6c83cd3a,u_016,c_906f1ec7,coupon__start__create,2026-02-02T05:42:09,22,android,1.0.0
e_84b80a252c,u_016,c_906f1ec7,coupon__complete__create,2026-02-02T05:42:32,22,ios,1.1.0
e_fe87a5f435,u_031,c_43ecfa1b,coupon__start__create,2026-02-02T06:07:25,43,android,1.0.0
e_c9028379d4,u_031,c_43ecfa1b,coupon__complete__create,2026-02-02T06:08:20,43,android,1.0.0
e_5d02c3f42c,u_068,c_47a5d9ab,coupon__start__create,2026-02-02T07:45:14,37,ios,1.0.1
e_f9b7820c63,u_068,c_47a5d9ab,coupon__complete__create,2026-02-02T07:46:12,37,ios,1.0.1
e_d850e4cbd4,u_020,c_b0e183ce,coupon__start__create,2026-02-02T11:26:09,22,android,1.0.1
e_6872329db0,u_020,c_b0e183ce,coupon__complete__create,2026-02-02T11:26:56,22,ios,1.0.1
e_d8a3451b01,u_038,c_55566380,coupon__start__create,2026-02-02T12:56:47,30,android,1.1.0
e_7e2247b0e2,u_038,c_55566380,coupon__complete__create,2026-02-02T12:57:56,30,ios,1.0.1
e_feaa7c7814,u_040,c_28b13ead,coupon__start__create,2026-02-02T13:27:27,17,android,1.0.1
e_3b3a14998a,u_040,c_28b13ead,coupon__complete__create,2026-02-02T13:27:42,17,ios,1.1.0
e_11d425e21c,u_025,c_74536b6e,coupon__start__create,2026-02-02T14:33:06,17,ios,1.0.1
e_2c445c9c65,u_025,c_74536b6e,coupon__complete__create,2026-02-02T14:34:31,17,ios,1.0.0
e_6a2004f7c1,u_038,c_6b358ad7,coupon__start__create,2026-02-02T16:48:16,24,android,1.0.1
e_a1f9ebaa28,u_038,c_6b358ad7,coupon__complete__create,2026-02-02T16:49:02,24,ios,1.0.0
e_98bf66c905,u_010,c_e880230f,coupon__start__create,2026-02-02T17:40:45,18,android,1.0.0
e_adca740bf1,u_010,c_e880230f,coupon__complete__create,2026-02-02T17:41:25,18,android,1.0.1
e_1ef6c2f306,u_062,c_ce47d523,coupon__start__create,2026-02-02T17:55:14,17,android,1.0.1
e_67fad1553c,u_062,c_ce47d523,coupon__complete__create,2026-02-02T17:55:42,17,android,1.1.0
e_a9d5386321,u_057,c_692e8b97,coupon__start__create,2026-02-02T18:38:07,29,android,1.0.1
e_cc5bd39d34,u_057,c_692e8b97,coupon__complete__create,2026-02-02T18:39:37,29,android,1.1.0
e_85c7cd6eb7,u_009,c_f846a269,coupon__start__create,2026-02-02T20:43:05,35,ios,1.0.1
e_e943b31bcf,u_009,c_f846a269,coupon__complete__create,2026-02-02T20:43:26,35,ios,1.0.0
e_bfb5651729,u_031,c_959275ce,coupon__start__create,2026-02-02T23:33:11,53,android,1.0.1
e_3cb867b156,u_020,c_b0e183ce,coupon__view__detail,2026-02-03T00:18:10,21,android,1.1.0
e_c8af0738ab,u_041,c_7ec9a3db,coupon__start__create,2026-02-03T00:28:30,42,ios,1.0.1
e_bbdace4896,u_041,c_7ec9a3db,coupon__complete__create,2026-02-03T00:29:15,42,ios,1.0.1
e_753d3b84e5,u_038,c_702ffe40,coupon__start__create,2026-02-03T07:37:06,17,android,1.0.0
e_adad54f8d2,u_029,c_cec3cc67,coupon__start__create,2026-02-03T07:54:14,49,android,1.1.0
e_2688de4652,u_029,c_cec3cc67,coupon__complete__create,2026-02-03T07:54:27,49,android,1.0.0
e_712e329ed4,u_043,c_92215017,coupon__start__create,2026-02-03T10:09:26,16,android,1.1.0
e_ec902a7a30,u_043,c_92215017,coupon__complete__create,2026-02-03T10:10:39,16,android,1.0.1
e_107f3589a0,u_070,c_61782ff5,coupon__complete__redeem,2026-02-03T10:55:01,5,ios,1.0.0
e_360e5dbee1,u_003,c_bb245d42,coupon__start__create,2026-02-03T11:57:39,17,android,1.1.0
e_a91fdbdd5c,u_003,c_bb245d42,coupon__complete__create,2026-02-03T11:58:05,17,android,1.0.0
e_10b6644d5e,u_010,c_e880230f,coupon__view__detail,2026-02-03T12:33:43,17,android,1.0.1
e_afc0939389,u_025,c_74536b6e,coupon__complete__redeem,2026-02-03T13:03:29,16,android,1.0.1
e_4842aeaffe,u_017,c_1da95906,coupon__view__detail,2026-02-03T13:23:42,16,ios,1.0.1
e_f17c52ddcc,u_028,c_a7d4d54e,coupon__start__create,2026-02-03T13:59:36,35,ios,1.0.0
e_14037bc5a5,u_028,c_a7d4d54e,coupon__complete__create,2026-02-03T14:00:06,35,ios,1.1.0
e_e11e781156,u_022,c_6d58d8eb,coupon__start__create,2026-02-03T14:35:00,37,ios,1.0.1
e_17b95718d0,u_022,c_6d58d8eb,coupon__complete__create,2026-02-03T14:35:51,37,android,1.0.0
e_ccf6f9dec1,u_023,c_a749eda4,coupon__start__create,2026-02-03T18:45:52,12,ios,1.1.0
e_9d53185537,u_023,c_a749eda4,coupon__complete__create,2026-02-03T18:46:31,12,ios,1.0.0
e_b8515b46c3,u_075,c_d716c32f,coupon__start__create,2026-02-03T20:49:59,24,ios,1.0.0
e_e6f84806a5,u_075,c_d716c32f,coupon__complete__create,2026-02-03T20:51:23,24,android,1.0.0
e_d7632c26c0,u_055,c_e15e51da,coupon__start__create,2026-02-03T21:25:28,23,ios,1.0.0
e_351f41eb87,u_032,c_f4735432,coupon__start__create,2026-02-03T22:54:35,28,android,1.0.1
e_e62148c1ee,u_032,c_f4735432,coupon__complete__create,2026-02-03T22:54:49,28,android,1.1.0
e_f40e4625d0,u_001,c_7a02063c,coupon__start__create,2026-02-04T00:19:04,9,android,1.0.1
e_1f1cca9824,u_001,c_7a02063c,coupon__complete__create,2026-02-04T00:19:24,9,android,1.0.1
e_31b5811dec,u_050,c_841bdb2e,coupon__start__create,2026-02-04T00:34:26,30,ios,1.0.1
e_9af0d97ae0,u_050,c_841bdb2e,coupon__complete__create,2026-02-04T00:34:37,30,android,1.0.0
e_39f940432f,u_072,c_964d10ac,coupon__start__create,2026-02-04T01:56:18,18,ios,1.1.0
e_e59518c001,u_072,c_964d10ac,coupon__complete__create,2026-02-04T01:57:18,18,ios,1.0.1
e_884e9f3be5,u_072,c_7305340b,coupon__start__create,2026-02-04T04:55:28,18,android,1.0.1
e_36028b2cdc,u_072,c_7305340b,coupon__complete__create,2026-02-04T04:56:56,18,android,1.0.0
e_74c1e20879,u_044,c_1c28921b,coupon__start__create,2026-02-04T06:23:15,14,android,1.0.0
e_bf162561ac,u_044,c_1c28921b,coupon__complete__create,2026-02-04T06:23:27,14,ios,1.0.0
e_134e173274,u_026,c_9128a915,coupon__complete__redeem,2026-02-04T09:22:03,22,android,1.0.1
e_456a290cca,u_072,c_b5ab4f2e,coupon__start__create,2026-02-04T10:39:11,45,ios,1.0.0
e_01bcd8ab46,u_072,c_b5ab4f2e,coupon__complete__create,2026-02-04T10:40:20,45,android,1.0.0
e_cc91070737,u_058,c_f7509485,coupon__start__create,2026-02-04T11:35:44,7,android,1.0.0
e_7a805e8113,u_058,c_f7509485,coupon__complete__create,2026-02-04T11:36:37,7,android,1.1.0
e_467456fb32,u_061,c_8837d88f,coupon__start__create,2026-02-04T11:39:32,16,android,1.1.0
e_0836bb91d0,u_061,c_8837d88f,coupon__complete__create,2026-02-04T11:40:15,16,ios,1.0.1
e_44bc4f5355,u_026,c_bbfa393f,coupon__start__create,2026-02-04T11:52:32,14,ios,1.1.0
e_7f33fb39e5,u_026,c_bbfa393f,coupon__complete__create,2026-02-04T11:53:39,14,ios,1.0.1
e_48efb9325e,u_021,c_9b37f552,coupon__start__create,2026-02-04T12:17:01,6,ios,1.1.0
e_3bdfbea8ee,u_021,c_9b37f552,coupon__complete__create,2026-02-04T12:17:48,6,android,1.0.0
e_7b50af10c9,u_013,c_c11a23ff,coupon__view__detail,2026-02-04T12:18:41,18,android,1.0.0
e_b8a18e6457,u_061,c_a68f5dbe,coupon__start__create,2026-02-04T12:34:57,25,ios,1.0.1
e_3290a80637,u_061,c_a68f5dbe,coupon__complete__create,2026-02-04T12:35:28,25,ios,1.0.0
e_bcca3eced4,u_041,c_509b6447,coupon__start__create,2026-02-04T12:39:34,26,android,1.1.0
e_1989a5222b,u_041,c_509b6447,coupon__complete__create,2026-02-04T12:40:54,26,android,1.0.1
e_eadb759663,u_011,c_31341669,coupon__start__create,2026-02-04T13:31:31,18,ios,1.0.1
e_8df243f450,u_011,c_31341669,coupon__complete__create,2026-02-04T13:31:57,18,ios,1.0.1
e_1b369b9414,u_080,c_9d42b111,coupon__start__create,2026-02-04T15:13:34,14,android,1.0.0
e_87cbbefa34,u_080,c_9d42b111,coupon__complete__create,2026-02-04T15:13:44,14,android,1.0.0
e_d15a4b686e,u_076,c_5407453b,coupon__start__create,2026-02-04T16:56:41,27,ios,1.0.1
e_145c289974,u_076,c_5407453b,coupon__complete__create,2026-02-04T16:57:02,27,ios,1.0.0
