항목,정책
알림 방식,flutter_local_notifications 기반 로컬 알림을 사용한다. 실제 푸시 서버/Firebase는 사용하지 않는다.
알림 발송 시각,현재 구현 기준 정오 12시로 예약한다.
타임존,Asia/Seoul 기준으로 예약한다.
알림 대상 조건,"마스터 알림이 켜져 있고, 쿠폰이 미사용이며, 만료 상태가 아닌 경우만 예약한다."
알림 타입,"D-30, D-7, D-3, D-1, D-DAY, 만료 다음날 알림을 지원한다."
마스터 토글 OFF,전체 예약 알림을 취소한다.
세부 토글 OFF,해당 타입의 알림은 예약하지 않는다.
쿠폰 삭제,해당 쿠폰의 예약 알림과 관련 로그를 정리한다.
사용 완료 처리,해당 쿠폰의 예약 알림을 취소한다.
사용 미완료 처리,쿠폰이 미만료 상태이면 알림을 다시 예약한다.
앱 재시작,앱 시작 또는 설정 변경 시 저장된 쿠폰/설정 기준으로 알림 재스케줄을 수행한다.
Android 13 이상,시스템 알림 권한 요청을 사용한다.
Android 12 이하,시스템 런타임 알림 권한 팝업이 없으므로 앱 내부 안내 다이얼로그로 동의받고 내부 알림 설정을 켠다.
웹,Chrome에서는 로컬 알림 플러그인 호출을 건너뛰어 앱 실행을 우선한다.
