document,section,table_index,항목,내용,ID,요구사항,우선순위,설명
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,서비스명,쿠왕 (Couwang),,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,서비스 목적,"사용자가 보유한 쿠폰/기프티콘과 멤버십을 로컬에서 등록, 확인, 사용 완료 처리하고 만료 전 알림을 받아 실제 사용까지 이어지도록 돕는다.",,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,타겟 사용자,"모바일 쿠폰, 기프티콘, 멤버십을 자주 보유하지만 만료일과 바코드 확인이 번거로운 개인 사용자",,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,현재 저장 방식,서버 없이 로컬 SQLite 기반 저장,,,,
01_requirements,요구사항 정의서 > 1. 프로젝트 개요,1,핵심 가치,"쿠폰 만료 손실 감소, 쿠폰/멤버십 빠른 확인, 이미지 기반 자동 입력 보조",,,,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-001,사용자는 앱을 열자마자 보유 쿠폰과 만료 임박 상태를 확인할 수 있어야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-002,쿠폰 등록 절차는 수동 입력을 기본으로 하되 이미지 기반 OCR/바코드/QR 인식을 보조 흐름으로 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-003,쿠폰 만료 전 알림을 통해 사용자가 쿠폰을 잊지 않도록 해야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-004,멤버십 카드를 별도 탭에서 관리하고 상세 화면에서 바코드를 크게 확인할 수 있어야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-005,첫 출시 MVP는 로그인/서버/결제/광고 없이 로컬 단독 사용으로 안정성을 우선해야 한다.,High,
01_requirements,요구사항 정의서 > 2. 비즈니스 요구사항,2,,,BR-006,"향후 로그인, 클라우드 백업, 이메일 백업 확장이 가능하도록 로컬 데이터 구조를 분리해 관리해야 한다.",Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.1 스플래시,3,,,FR-001,앱 시작 시 SplashScreen을 표시한 뒤 홈 화면으로 이동해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.1 스플래시,3,,,FR-002,"앱 시작 시 필요한 초기화, 로컬 DB 초기화, 알림 서비스 초기화가 수행되어야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.1 스플래시,3,,,FR-003,"알림 클릭으로 앱이 실행된 경우 쿠폰 상세로 이동하되, 이후 앱 아이콘으로 재실행하면 홈으로 시작해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-010,"홈 화면은 쿠폰 리스트, 절약 말풍선, 알림 진입, 쿠폰 추가 FAB를 포함해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-011,"쿠폰 리스트는 사용가능, 사용완료, 만료 상태 필터를 제공해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-012,쿠폰 리스트는 만료순/이름순 정렬을 토글 방식으로 제공해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-013,"검색은 쿠폰명뿐 아니라 브랜드, 카테고리까지 대상으로 해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-014,쿠폰이 없을 때는 공통 마스코트 empty UI와 안내 메시지를 표시해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.2 홈(쿠폰 리스트),4,,,FR-015,"D-DAY 뱃지는 사용완료, 만료, D-DAY, D-n 상태를 구분해 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-020,"쿠폰 등록/수정 화면은 이미지, 코드값, 쿠폰명, 브랜드, 유효기간, 카테고리, 메모를 입력받아야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-021,필수값이 비어 있으면 저장 버튼은 비활성화되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-022,갤러리 이미지 선택 후 OCR/바코드/QR 정보 추출 버튼을 제공해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-023,"코드값이 링크 또는 QR 유형이면 QR 코드 미리보기를, 그 외에는 Code128 바코드 미리보기를 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.3 쿠폰 등록/수정,5,,,FR-024,수정 모드에서는 기존 이미지와 입력값이 미리 채워지고 CTA 문구는 수정하기로 표시되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-030,"쿠폰 상세는 카테고리/브랜드, 쿠폰명, 유효기간, D-DAY 뱃지, 이미지, 코드, 팁 카드, 사용 완료 버튼을 표시해야 한다.",High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-031,쿠폰 이미지는 전체화면 팝업에서 확대 확인 가능해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-032,코드 영역은 전체화면 팝업에서 확대 확인 가능해야 한다.,Medium,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-033,사용 완료 처리와 사용 미완료 되돌리기는 확인 다이얼로그 후 수행되어야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-034,수정/삭제 메뉴를 제공하고 삭제 시 알림 스케줄도 함께 취소해야 한다.,High,
01_requirements,요구사항 정의서 > 3. 기능 요구사항 > 3.4 쿠폰 상세,6,,,FR-035,멤버십 화면으로 가기 바텀시트에서 멤버십 목록을 확인하고 상세로 이동할 수 있어야 한다.,Medium,
